X,Y,CountryCode
552,264,792
560,264,792
552,272,792
560,272,792
568,272,792
576,272,792
584,272,792
592,272,792
544,280,792
552,280,792
560,280,792
568,280,792
576,280,792
584,280,792
592,280,792
600,280,792
536,288,792
544,288,792
552,288,792
560,288,792
568,288,792
576,288,792
584,288,792
592,288,792
600,288,792
544,296,792
552,296,792
560,296,792
568,296,792
576,296,792
584,296,792
592,296,792
600,296,792
536,256,792
544,256,792
528,264,792
536,264,792
544,264,792
528,272,792
536,272,792
560,320,422
568,320,422
560,328,422
576,344,275
576,352,275
560,344,275
560,336,376
568,336,376
568,344,376
568,352,376
568,304,760
576,304,760
584,304,760
592,304,760
568,312,760
576,312,760
584,312,760
592,312,760
576,320,760
584,320,760
568,328,760
576,328,400
584,328,400
576,336,400
584,336,400
584,344,400
584,352,400
584,256,268
592,344,682
592,352,682
600,352,682
592,360,682
600,360,682
608,360,682
616,360,682
592,368,682
600,368,682
608,368,682
616,368,682
624,368,682
632,368,682
584,264,51
600,304,368
608,304,368
600,312,368
608,312,368
592,320,368
600,320,368
608,320,368
592,328,368
600,328,368
608,328,368
592,336,368
600,336,368
608,336,368
616,336,368
600,344,368
608,344,368
616,344,368
608,352,368
520,128,643
520,136,643
528,136,643
520,144,643
528,144,643
536,144,643
536,152,643
544,152,643
552,152,643
528,160,643
536,160,643
544,160,643
552,160,643
528,168,643
536,168,643
544,168,643
552,168,643
560,168,643
568,168,643
576,168,643
528,176,643
536,176,643
544,176,643
552,176,643
560,176,643
568,176,643
576,176,643
536,184,643
544,184,643
552,184,643
560,184,643
568,184,643
576,184,643
552,192,643
560,192,643
568,192,643
576,192,643
584,192,643
592,192,643
560,200,643
568,200,643
576,200,643
584,200,643
592,200,643
560,208,643
568,208,643
576,208,643
584,208,643
592,208,643
560,216,643
568,216,643
576,216,643
584,216,643
592,216,643
560,224,643
568,224,643
576,224,643
584,224,643
592,224,643
576,232,643
584,232,643
592,232,643
584,240,643
592,240,643
592,248,643
592,256,31
600,256,31
592,264,31
600,264,31
600,272,31
608,272,364
608,280,364
616,280,364
624,280,364
632,280,364
640,280,364
648,280,364
656,280,364
664,280,364
608,288,364
616,288,364
624,288,364
632,288,364
640,288,364
648,288,364
656,288,364
664,288,364
608,296,364
616,296,364
624,296,364
632,296,364
640,296,364
648,296,364
656,296,364
664,296,364
616,304,364
624,304,364
632,304,364
640,304,364
648,304,364
656,304,364
664,304,364
616,312,364
624,312,364
632,312,364
640,312,364
648,312,364
656,312,364
664,312,364
656,320,364
664,320,364
608,376,887
616,376,887
624,376,887
608,384,887
616,384,887
624,384,887
